state,county,fips,trump16,clinton16,otherpres16,romney12,obama12,otherpres12,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,demgov16,repgov16,othergov16,repgov14,demgov14,othergov14,total_population,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc
Georgia,Bartow,13015,29911,8212,1427,26876,8396,530,7291,28073,2008,8100,30341,0,NA,NA,NA,16406,5613,727,101942,72800,78.81050009,10.77181142,7.997684958,21.18949991,4.679131271,50.42965608,40.41611897,12.75529222,50565,7.65163424,18.40311298,81.48549702,16.74623048,80.84343644,35.22769252,1
Georgia,Ben Hill,13017,3739,2101,96,3396,2512,48,1739,3589,135,1890,3807,0,NA,NA,NA,1900,1462,86,17405,12550,56.83998851,35.93220339,6.055731112,43.16001149,2.384372307,51.76098822,40.350474,15.25423729,29510,7.765399738,18.83333333,89.44736842,13.8300875,86.15580017,34.00249518,7
Georgia,Berrien,13019,5422,1047,121,4843,1273,85,895,5061,226,999,5372,0,NA,NA,NA,2845,937,132,18986,13985,82.41335721,10.39713473,4.856209839,17.58664279,3.133888128,50.52143685,38.78647424,16.10660487,35740,10.43057191,19.68903821,87.73341667,18.7,86.49090909,76.1433164,6
Georgia,Bibb,13021,24043,36787,1766,25623,38585,510,31533,25601,1677,36383,24160,0,NA,NA,NA,17434,24486,571,154194,112570,39.85563641,53.6389224,3.110367459,60.14436359,3.609738382,52.77183289,42.57882927,13.93504287,37108,11.32014605,15.71128255,75.41013287,10.13988339,65.62105123,14.41043543,3
Georgia,Bleckley,13023,3719,1101,154,3587,1269,51,923,3698,147,1014,3829,0,NA,NA,NA,2253,907,80,12835,9900,68.97545773,27.53408648,2.594468251,31.02454227,1.347876899,53.94624075,42.28282041,16.9224776,37060,6.582165888,14.82741245,82.27513228,9.009869468,79.08309456,51.58845594,6
Georgia,Brantley,13025,5567,619,115,4964,939,99,611,4844,244,0,5446,0,NA,NA,NA,2302,567,103,18403,13650,92.81095474,2.635439874,2.130087486,7.189045264,0.847687877,50.44829647,39.7163506,14.41612781,36837,9.152777778,19.81604665,90.49026854,19.44492478,90.56717966,99.44598338,3
Georgia,Brooks,13027,3701,2528,107,3554,3138,50,2092,3465,188,2318,3705,0,NA,NA,NA,2437,2100,79,15645,11765,57.20677533,35.23170342,5.612016619,42.79322467,3.451581975,51.80568872,35.70469799,18.34451902,34547,17.67277856,21.01946247,87.56255792,13.84230656,85.4368932,71.03983254,3
Georgia,Bryan,13029,10529,4014,630,9560,3707,186,3216,10488,655,0,12962,0,NA,NA,NA,5514,2216,217,34104,23490,74.70971147,14.37954492,6.44499179,25.29028853,4.536124795,50.11435609,43.29990617,9.987098288,65862,9.261053907,9.571202679,66.66356618,8.708961047,66.02244763,52.34346575,2
Georgia,Bulloch,13031,15097,9261,958,14174,9593,318,7738,15530,1016,8513,16145,0,NA,NA,NA,8358,4681,262,73141,57220,64.17467631,28.32884429,3.634076646,35.82532369,3.474111647,50.64737972,53.21639026,10.18717272,37125,9.717664366,13.37834774,71.75178252,11.19271445,67.60061692,48.28317929,4
Georgia,Burke,13033,4491,4731,129,4301,5405,73,4068,4448,200,4339,4688,0,NA,NA,NA,2832,2943,94,22838,16535,47.06191435,49.18994658,2.977493651,52.93808565,2.053594886,52.09300289,41.85567913,14.02049216,34589,7.301313806,22.68461852,89.59608323,17.12006278,85.53492022,74.9957111,2
Georgia,Butts,13035,6717,2566,231,6306,2968,107,2167,6320,346,0,7778,0,NA,NA,NA,3993,1970,143,23479,18030,66.85122876,28.21244516,3.083606627,33.14877124,2.985646748,46.89296818,37.71029431,14.45121172,40753,8.354403708,22.8075555,89.79516742,17.6502194,88.69884481,77.94123864,1
Georgia,Calhoun,13037,830,1179,16,883,1298,7,1007,862,30,1368,629,0,NA,NA,NA,612,817,20,6443,5035,32.43830514,59.75477262,4.594133168,67.56169486,4.206115164,39.74856433,35.30963837,12.52522117,28200,14.40981094,24.01599663,89.70743001,19.01949203,83.75664501,100,8
Georgia,Camden,13039,12310,5930,661,11343,6377,263,5097,11454,1006,0,15290,0,NA,NA,NA,6394,3060,278,52092,37995,70.44459802,18.21584888,6.1141826,29.55540198,3.743377102,48.27228749,47.32588497,11.18021961,53327,9.266829014,8.971389219,77.38057973,8.624767697,77.2723433,31.44339081,4
Georgia,Candler,13043,2664,1026,73,2344,1157,27,855,2588,105,923,2671,0,NA,NA,NA,1449,714,37,10962,7815,62.74402481,23.91899288,11.05637657,37.25597519,4.935230797,50.64769203,39.87411056,16.46597336,33379,7.088826453,24.74440453,85.7695496,18.7308086,81.41248721,66.96672122,7
Georgia,Carroll,13045,30029,12464,1628,28280,12688,581,10867,29043,1997,12104,30538,0,NA,NA,NA,17383,7877,748,113756,83470,71.49512993,18.24167516,6.56229122,28.50487007,3.705299061,51.07862442,44.52512395,12.40901579,45486,10.80114976,18.88780736,81.8147192,16.57361532,79.96746284,41.82507442,1
Georgia,Catoosa,13047,20876,4771,1110,17858,5365,455,4121,18888,1281,0,23292,0,NA,NA,NA,10110,3348,448,65645,49385,91.72975855,2.414502247,2.693274431,8.27024145,2.409932211,51.49821007,37.87036332,15.76662351,52265,7.245724572,14.38964877,80.34966757,13.92220227,80.39257929,28.10202996,2
Georgia,Charlton,13049,2951,1004,61,2527,1197,40,873,2489,141,0,3229,0,NA,NA,NA,1287,657,66,12968,9395,62.23781616,26.25694016,8.790869833,37.76218384,8.983652067,48.37291795,35.66471314,12.79302899,43871,12.0240105,19.1384413,91.0117286,18.09392265,89.43370166,51.02292334,6
Georgia,Chatham,13051,45688,62290,4164,47204,60246,1178,52146,49740,4078,0,80718,0,NA,NA,NA,29715,34623,1374,282613,210415,49.46976961,39.44899916,6.04890787,50.53023039,6.178767431,51.742135,43.08648222,13.58854688,49596,9.248417445,10.70822503,67.10523489,6.695638647,58.57492854,4.504993814,2
Georgia,Chattahoochee,13053,751,594,45,735,729,26,508,700,62,684,661,0,NA,NA,NA,310,363,18,11882,8765,60.03198115,17.51388655,14.82073725,39.96801885,7.448241037,32.47769736,70.98131628,3.854569938,43929,15.95821326,9.842829077,69.88212181,8.059418458,64.4437421,29.51983669,2
Georgia,Chattooga,13055,6462,1613,177,5452,2232,138,1622,5827,295,0,7099,0,NA,NA,NA,2857,1773,192,25046,18950,82.90745029,10.6683702,4.61950012,17.09254971,3.082328516,47.96773936,37.55889164,16.15826879,35245,10.05641889,27.50434279,91.14070643,23.91080617,90.73070326,57.55910052,6
Georgia,Cherokee,13057,80649,25231,6163,76514,19841,1865,20717,80166,6438,22946,85342,0,NA,NA,NA,50051,14316,2318,230629,158990,80.21237572,6.053445143,9.889909769,19.78762428,8.878328398,50.75857763,39.62164342,11.88141994,72586,5.522068347,10.23939494,64.50312397,7.375675612,63.14207715,17.10272177,1
